col_hex_8,Morti,Feriti,hour-0-7,hour-8-15,hour-16-23,end_of_week,Contro ostacoli,Contro veicoli fermi,Da solo,Investimento,Scontro fra veicoli in movimento,Tamponamento,Altro tipo di strada,Curva,Incrocio,Intersezione,Rettilineo,Rotatoria,asciutto,bagnato,ghiacciato,viscido,Altra pavimentazione,Asfaltata,In cubetti di porfido,Strada pavimentata dissestata,auto,moto,bus,camion,lavoro,bici,elettrici,altro,Altro tempo,Nebbia,Nuvoloso,Pioggia,Sereno,Altra strada,Provinciale,Regionale,Statale,Urbana,Traffico Intenso,Traffico Normale,Traffico Scarso,y,media veicoli coinvolti,luce,centro abitato
881ea5528dfffff,3.0,243.0,0.0880281690140845,0.5492957746478874,0.3626760563380282,70,0.035211267605633804,0.017605633802816902,0.11971830985915492,0.07394366197183098,0.5880281690140845,0.16549295774647887,0.007042253521126761,0.0528169014084507,0.3204225352112676,0.13380281690140844,0.3028169014084507,0.18309859154929578,0.8345070422535211,0.15845070422535212,0.0,0.007042253521126761,0.0035211267605633804,0.9964788732394366,0.0,0.0,1.2147887323943662,0.19014084507042253,0.02464788732394366,0.2007042253521127,0.007042253521126761,0.22535211267605634,0.0,0.01056338028169014,0.0,0.0035211267605633804,0.12323943661971831,0.09859154929577464,0.7746478873239436,0.0,0.04929577464788732,0.02112676056338028,0.34507042253521125,0.5845070422535211,0.12323943661971831,0.7077464788732394,0.16901408450704225,284,1.8943661971830985,0.7887323943661971,0.9929577464788732
881ea55291fffff,1.0,65.0,0.10526315789473684,0.5526315789473685,0.34210526315789475,22,0.05263157894736842,0.0,0.19736842105263158,0.02631578947368421,0.6842105263157895,0.039473684210526314,0.013157894736842105,0.17105263157894737,0.5526315789473685,0.02631578947368421,0.23684210526315788,0.0,0.8947368421052632,0.10526315789473684,0.0,0.0,0.0,1.0,0.0,0.0,1.1710526315789473,0.19736842105263158,0.0,0.07894736842105263,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.2236842105263158,0.05263157894736842,0.7236842105263158,0.0,0.0,0.0,0.0,1.0,0.039473684210526314,0.5,0.4605263157894737,76,1.763157894736842,0.8289473684210527,1.0
881ea55295fffff,4.0,481.0,0.04743833017077799,0.5844402277039848,0.3681214421252372,102,0.030360531309297913,0.05313092979127135,0.0967741935483871,0.15370018975332067,0.4838709677419355,0.18216318785578747,0.017077798861480076,0.04174573055028463,0.4478178368121442,0.028462998102466792,0.4629981024667932,0.0018975332068311196,0.855787476280835,0.13851992409867173,0.0,0.0056925996204933585,0.0056925996204933585,0.9639468690702088,0.028462998102466792,0.0018975332068311196,1.2485768500948766,0.1555977229601518,0.04364326375711575,0.07969639468690702,0.0,0.31309297912713474,0.0,0.0056925996204933585,0.0056925996204933585,0.003795066413662239,0.14800759013282733,0.08538899430740038,0.7571157495256167,0.0,0.007590132827324478,0.0,0.0,0.9924098671726755,0.222011385199241,0.573055028462998,0.2049335863377609,527,1.8671726755218216,0.7855787476280834,0.9981024667931688
881ea55297fffff,0.0,248.0,0.06589147286821706,0.4844961240310077,0.4496124031007752,41,0.01937984496124031,0.011627906976744186,0.07364341085271318,0.12790697674418605,0.6705426356589147,0.09689922480620156,0.0,0.007751937984496124,0.3875968992248062,0.07751937984496124,0.5271317829457365,0.0,0.8449612403100775,0.15503875968992248,0.0,0.0,0.0,1.0,0.0,0.0,1.2325581395348837,0.2558139534883721,0.01937984496124031,0.07751937984496124,0.0,0.32945736434108525,0.0,0.0,0.0,0.003875968992248062,0.1434108527131783,0.08527131782945736,0.7674418604651163,0.0,0.04263565891472868,0.003875968992248062,0.011627906976744186,0.9418604651162791,0.1744186046511628,0.5813953488372093,0.2441860465116279,258,1.9224806201550388,0.7209302325581395,0.9961240310077519
881ea55299fffff,0.0,173.0,0.037037037037037035,0.5493827160493827,0.41358024691358025,30,0.037037037037037035,0.006172839506172839,0.037037037037037035,0.16049382716049382,0.6049382716049383,0.15432098765432098,0.0,0.018518518518518517,0.6481481481481481,0.0,0.3271604938271605,0.006172839506172839,0.808641975308642,0.19135802469135801,0.0,0.0,0.0,0.9876543209876543,0.0,0.012345679012345678,1.3148148148148149,0.19135802469135801,0.012345679012345678,0.09876543209876543,0.0,0.25925925925925924,0.0,0.0,0.0,0.006172839506172839,0.12345679012345678,0.12345679012345678,0.7469135802469136,0.0,0.16666666666666666,0.006172839506172839,0.0,0.8271604938271605,0.14814814814814814,0.6296296296296297,0.2222222222222222,162,1.9074074074074077,0.7962962962962963,0.9753086419753086
881ea5529bfffff,0.0,39.0,0.175,0.425,0.4,3,0.025,0.0,0.2,0.05,0.6,0.125,0.0,0.05,0.425,0.025,0.5,0.0,0.8,0.1,0.1,0.0,0.0,0.975,0.0,0.025,1.15,0.225,0.0,0.1,0.0,0.375,0.0,0.025,0.0,0.1,0.075,0.05,0.775,0.0,0.0,0.0,0.0,1.0,0.15,0.7,0.15,40,1.875,0.675,1.0
881ea5529dfffff,1.0,594.0,0.09838709677419355,0.5580645161290323,0.3435483870967742,133,0.02903225806451613,0.03064516129032258,0.07258064516129033,0.11612903225806452,0.5983870967741935,0.1532258064516129,0.0,0.03870967741935484,0.5096774193548387,0.08709677419354839,0.3629032258064516,0.0016129032258064516,0.8354838709677419,0.1629032258064516,0.0016129032258064516,0.0,0.0,0.9983870967741936,0.0,0.0016129032258064516,1.2967741935483872,0.1967741935483871,0.014516129032258065,0.09838709677419355,0.004838709677419355,0.2870967741935484,0.0016129032258064516,0.0064516129032258064,0.004838709677419355,0.0032258064516129032,0.13548387096774195,0.10161290322580645,0.7548387096774194,1.0,0.027419354838709678,0.0016129032258064516,0.12580645161290321,0.8435483870967742,0.1967741935483871,0.6161290322580645,0.1870967741935484,620,1.9096774193548387,0.8048387096774193,0.9951612903225806
881ea552a1fffff,1.0,31.0,0.1282051282051282,0.46153846153846156,0.41025641025641024,9,0.0,0.0,0.20512820512820512,0.05128205128205128,0.48717948717948717,0.2564102564102564,0.0,0.1282051282051282,0.3333333333333333,0.0,0.5384615384615384,0.0,0.8461538461538461,0.15384615384615385,0.0,0.0,0.0,1.0,0.0,0.0,1.1538461538461537,0.3076923076923077,0.0,0.1282051282051282,0.0,0.1794871794871795,0.0,0.0,0.0,0.05128205128205128,0.20512820512820512,0.07692307692307693,0.6666666666666666,2.0,0.0,0.1282051282051282,0.02564102564102564,0.7948717948717948,0.10256410256410256,0.5128205128205128,0.38461538461538464,39,1.8205128205128205,0.717948717948718,0.7948717948717948
881ea552a3fffff,0.0,8.0,0.0,0.4444444444444444,0.5555555555555556,1,0.1111111111111111,0.0,0.1111111111111111,0.0,0.6666666666666666,0.1111111111111111,0.0,0.0,0.5555555555555556,0.0,0.4444444444444444,0.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.0,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.5555555555555556,0.3333333333333333,9,2.0,0.6666666666666666,0.7777777777777778
881ea552a5fffff,0.0,8.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,3,0.0,0.0,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.7777777777777778,0.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,1.0,0.0,0.4444444444444444,0.5555555555555556,9,1.4444444444444444,0.6666666666666666,1.0
